id,course,type,name,intro,introformat,assessed,assesstimestart,assesstimefinish,scale,maxbytes,maxattachments,forcesubscribe,trackingtype,rsstype,rssarticles,timemodified,warnafter,blockafter,blockperiod,completiondiscussions,completionreplies,completionposts,displaywordcount,lockdiscussionafter
18,10,eachuser,Forum for Activity 7.1 and 7.2,"<p style=""text-align: center;""><strong><span style=""font-family: tahoma, arial, helvetica, sans-serif; font-size: small; color: #333333;"">FORUM FOR ACTIVITY 7.1 AND 7.2</span></strong></p>
<p style=""text-align: left;""><span style=""font-size: small;"">This forum is for:</span></p>
<ul>
<li style=""text-align: left;""><span style=""font-size: small;""><strong>starting a discussion</strong>. To start a disscussion create a new thread</span></li>
<li style=""text-align: left;""><span style=""font-size: small;""><strong>participating in at least six discussions opened by other participants</strong>. To post a message click ""Reply"" in appropriate message</span></li>
</ul>
<p></p>",1,0,0,0,0,512000,9,2,1,0,0,1401956375,0,0,0,0,0,0,0,0
19,10,qanda,Forum for Activity 7.3,"<p style=""text-align: center;""><strong><span style=""font-family: tahoma, arial, helvetica, sans-serif; font-size: small; color: #333333;"">FORUM FOR ACTIVITY 7.3 </span></strong></p>
<p style=""text-align: left;""><span style=""font-family: tahoma,arial,helvetica,sans-serif; color: #333333;"">This forum is for:<br />-<strong>identifying and replying to a problem</strong>. To post your message click on the discussion thread and ""Reply” in the first tutors’ message. After publishing your message you will be able to see messages of other course participants if some have already been posted.</span></p>",1,0,0,0,0,512000,9,0,1,0,0,1401955583,0,0,0,0,0,0,0,0
20,10,general,Forum for Module 8,"<p style=""text-align: center;""><strong><span style=""font-family: tahoma, arial, helvetica, sans-serif; font-size: small; color: #333333;"">FORUM FOR MODULE 8</span></strong></p>",1,0,0,0,0,512000,9,0,1,0,0,1399288056,0,0,0,0,0,0,0,0
21,10,general,Forum for Module 9,"<p style=""text-align: center;""><strong><span style=""font-family: tahoma, arial, helvetica, sans-serif; font-size: small; color: #333333;"">FORUM FOR MODULE 9</span></strong></p>",1,0,0,0,0,512000,9,0,2,0,0,1399288115,0,0,0,0,0,0,0,0
22,10,general,Forum for Module 10 ,"<p style=""text-align: center;""><strong><span style=""font-family: tahoma, arial, helvetica, sans-serif; font-size: small; color: #333333;"">FORUM FOR MODULE 10</span></strong></p>",1,0,0,0,0,512000,9,0,2,0,0,1374758572,0,0,0,0,0,0,0,0
24,11,news,Announcements,General news and announcements,1,0,0,0,0,0,1,1,1,0,0,1549462268,0,0,0,0,0,0,0,0
28,46,news,Announcements,General news and announcements,1,0,0,0,0,0,1,1,1,0,0,1550672084,0,0,0,0,0,0,0,0
32,50,news,Announcements,General news and announcements,1,0,0,0,0,0,1,1,1,0,0,1562232961,0,0,0,0,0,0,0,0
26,47,social,Course Discussion Forum,"This is an open forum for everyone taking the course to freely discuss their progress, challenge and more. Participation in this forum together with the quality of your answers counts 30% towards your final mark. Moreover, active participation here and in other forums will help your application for the 10academy in-person training.<br><br>You can ask questions, write comments and suggestion to improve the course material.<br><br>",1,1,0,0,-2,0,1,2,1,2,0,1553272150,0,0,0,0,0,1,0,0
27,47,news,What is this course about?,"<p>This course is intended to provide the necessary data science concepts required for 10 Academy fellowship program. After completion of this course, a fellow is expected to perform the following</p><p></p><ul><li>Gone through setting up a basic data science environment with Jupyter Notebook&nbsp;</li><li>Obtained an experience working remotely using&nbsp;<a href=""https://colab.research.google.com/"" target=""_blank"">Google CoLab</a></li><li>Have a working knowledge on how to read and write basic data types such as text, table, image, and json</li><li>Is familiar with the basic data science technical terms and have a hands on experience on data collecting, data cleaning, data visualisation and data analysis</li><li>Have a basic knowledge and experience in using Git</li><li>Have downloaded twitter data using API</li><li>Have selected and visualised data</li><li>Have produced and saved histogram and line plot figures&nbsp;</li><li>Have interpreted result</li><li>Have attempted self-initiated project</li></ul>",1,0,0,0,0,0,1,1,1,0,0,1553242035,0,0,0,0,0,0,1,0
30,48,news,Announcements,General news and announcements,1,0,0,0,0,0,1,1,1,0,0,1558811068,0,0,0,0,0,0,0,0
31,49,news,Announcements,General news and announcements,1,0,0,0,0,0,1,1,1,0,0,1561382126,0,0,0,0,0,0,0,0
33,50,blog,"Questions, Discussions and Ideas about the course","<p>Your place to discuss the course, ask questions and give feedback.</p>",1,0,0,0,100,2097152,9,2,1,1,0,1562233326,0,0,0,0,0,0,1,0
34,8,news,Announcements,General news and announcements,1,0,0,0,0,0,1,1,1,0,0,1562773782,0,0,0,0,0,0,0,0
35,51,news,Announcements and Resources,General news and announcements,1,0,0,0,0,0,1,1,1,0,0,1562835224,0,0,0,0,0,0,0,0
36,51,general,#Article The AI gig economy is coming for you,"<p><a href=""https://www.technologyreview.com/s/613606/the-ai-gig-economy-is-coming-for-you"" target=""_blank"">The AI gig economy is coming for you</a>. Read and share your thoughts.&nbsp;</p>",1,0,0,0,100,2097152,9,2,1,1,0,1563283121,0,0,0,0,0,1,0,0
37,51,general,#Article 'A white-collar sweatshirt': Google assistant contractors allege wage theft,"<a href=""https://www.theguardian.com/technology/2019/may/28/a-white-collar-sweatshop-google-assistant-contractors-allege-wage-theft"" target=""_blank"">'A white-collar sweatshirt': Google assistant contractors allege wage theft</a>.&nbsp;Read and share your thoughts.&nbsp;",1,0,0,0,100,2097152,9,2,1,1,0,1563283138,0,0,0,0,0,1,0,0
38,51,general,Sensor-packed glove learns signatures of the human grasp,"<p><a href=""https://news.mit.edu/2019/sensor-glove-human-grasp-robotics-0529"" target=""_blank"">Sensor-packed glove learns signatures of the human grasp</a>. Read and share your thoughts.<br></p>",1,0,0,0,100,2097152,9,2,1,1,0,1563370737,0,0,0,0,0,1,0,0
