id,coursemoduleid,userid,completionstate,viewed,overrideby,timemodified
744,261,153,1,0.0,,1551114923
745,261,160,1,0.0,,1551114923
746,261,156,1,0.0,,1551114923
747,261,143,1,0.0,,1551114923
748,261,188,1,0.0,,1551114923
749,261,174,1,0.0,,1551114923
750,261,189,1,0.0,,1551114923
751,261,40,1,0.0,,1551114923
752,261,185,1,0.0,,1551114923
753,261,213,1,0.0,,1551114923
754,261,199,1,0.0,,1551114923
755,261,222,1,0.0,,1551114923
756,261,217,1,0.0,,1551114923
985,264,201,1,1.0,,1551330743
1003,277,194,1,0.0,,1551353570
1009,277,201,1,0.0,,1551353851
757,261,210,1,0.0,,1551114924
758,261,242,1,0.0,,1551114924
759,261,241,1,0.0,,1551114924
760,261,228,1,0.0,,1551114924
761,261,234,1,0.0,,1551114924
762,261,225,1,0.0,,1551114924
763,261,246,1,0.0,,1551114924
764,261,237,1,0.0,,1551114924
765,261,256,1,0.0,,1551114924
766,261,51,1,0.0,,1551114924
767,261,282,1,0.0,,1551114924
768,261,277,1,0.0,,1551114924
769,261,262,1,0.0,,1551114924
770,261,259,1,0.0,,1551114924
771,261,301,1,0.0,,1551114924
772,261,98,1,0.0,,1551114924
773,261,286,1,0.0,,1551114924
774,261,289,1,0.0,,1551114924
775,261,78,1,0.0,,1551114924
776,261,165,1,0.0,,1551114924
777,261,133,1,0.0,,1551114924
778,261,118,1,0.0,,1551114924
779,261,140,1,0.0,,1551114924
780,261,201,1,0.0,,1551114924
781,261,130,1,0.0,,1551114924
782,261,5,1,0.0,,1551114924
783,261,274,1,0.0,,1551114924
784,261,179,1,0.0,,1551114924
785,261,284,1,0.0,,1551114924
786,261,108,1,0.0,,1551114924
787,261,290,1,0.0,,1551114924
788,261,65,1,0.0,,1551114924
789,261,50,1,0.0,,1551114924
790,261,145,1,0.0,,1551114924
799,277,138,1,0.0,,1551116751
792,277,179,1,0.0,,1551115517
806,277,255,1,0.0,,1551117360
812,277,222,1,0.0,,1551117602
818,277,291,1,0.0,,1551117869
824,277,146,1,0.0,,1551118500
830,277,182,1,0.0,,1551119188
836,277,58,1,0.0,,1551119474
842,277,236,1,0.0,,1551119670
848,277,143,1,0.0,,1551120278
1192,263,115,1,0.0,,1552327735
6032,225,148,1,0.0,,1561988991
6033,225,174,1,0.0,,1561988991
890,264,286,1,1.0,,1551215103
896,264,143,1,1.0,,1551215737
902,261,103,1,0.0,,1551222811
1198,264,73,1,1.0,,1552336054
6034,225,373,1,0.0,,1561988991
920,261,272,1,0.0,,1551253470
926,263,59,1,0.0,,1551257246
932,263,95,1,0.0,,1551263821
6035,225,86,1,0.0,,1561988991
6036,225,146,1,0.0,,1561988991
6037,225,274,1,0.0,,1561988991
962,263,254,1,0.0,,1551297823
968,261,299,1,0.0,,1551303058
974,263,299,1,0.0,,1551305595
6038,225,118,1,0.0,,1561988991
992,263,133,1,0.0,,1551344429
1209,264,80,1,1.0,,1552376238
1004,277,289,1,0.0,,1551353605
1010,277,234,1,0.0,,1551353912
6039,225,105,1,0.0,,1561988991
1025,264,274,1,1.0,,1551365934
6040,225,247,1,0.0,,1561988991
1035,263,44,1,0.0,,1551371628
6041,225,58,1,0.0,,1561988991
1214,264,223,1,1.0,,1552381103
6042,225,246,1,0.0,,1561988991
1219,263,209,1,0.0,,1552385585
1070,264,145,1,1.0,,1551390921
6043,225,290,1,0.0,,1561988991
6044,225,68,1,0.0,,1561988991
6045,225,42,1,0.0,,1561988991
1090,263,250,1,0.0,,1551447733
6046,225,278,1,0.0,,1561988991
1110,263,170,1,0.0,,1551685604
1115,263,241,1,0.0,,1551694465
1120,263,126,1,0.0,,1551707608
1125,263,137,1,0.0,,1551797288
1130,264,40,1,1.0,,1551862762
1229,264,266,1,1.0,,1552392568
1139,264,118,1,1.0,,1551954829
1143,264,246,1,1.0,,1551974345
6047,225,193,1,0.0,,1561988991
1238,261,105,1,0.0,,1552427294
1242,277,296,1,0.0,,1552476373
1246,277,250,1,0.0,,1552476511
1249,277,213,1,0.0,,1552476565
1252,277,278,1,0.0,,1552476942
1255,277,294,1,0.0,,1552476992
1258,277,268,1,0.0,,1552477046
1261,277,137,1,0.0,,1552477288
1216,264,123,1,1.0,,1552490292
1268,264,107,1,1.0,,1552490749
6048,225,39,1,0.0,,1561988991
6049,225,294,1,0.0,,1561988991
1275,264,48,1,1.0,,1552534706
6050,225,303,1,0.0,,1561988991
1279,263,189,1,0.0,,1552537217
1281,261,373,1,0.0,,1552537282
1280,264,189,1,1.0,,1552537426
1282,276,189,1,0.0,,1552537566
