id,itemid,userid,rawgrade,rawgrademax,rawgrademin,rawscaleid,usermodified,finalgrade,hidden,locked,locktime,exported,overridden,excluded,feedback,feedbackformat,information,informationformat,timecreated,timemodified,aggregationstatus,aggregationweight
83,126,217,,12.0,0.0,,,11.0,0,0,0,0,0,0,,0,,0,,1550480447.0,unknown,
82,127,217,11.0,12.0,0.0,,217.0,11.0,0,0,0,0,0,0,,0,,0,1550480447.0,1550480447.0,used,1.0
85,126,151,,12.0,0.0,,,6.0,0,0,0,0,0,0,,0,,0,,1550484542.0,unknown,
84,127,151,6.0,12.0,0.0,,2.0,6.0,0,0,0,0,0,0,,0,,0,1550484542.0,1550484542.0,used,1.0
87,126,225,,12.0,0.0,,,9.0,0,0,0,0,0,0,,0,,0,,1550485343.0,unknown,
97,126,60,,12.0,0.0,,,3.0,0,0,0,0,0,0,,0,,0,,1550522974.0,unknown,
86,127,225,9.0,12.0,0.0,,225.0,9.0,0,0,0,0,0,0,,0,,0,1550485343.0,1550485343.0,used,1.0
89,126,118,,12.0,0.0,,,3.0,0,0,0,0,0,0,,0,,0,,1550489341.0,unknown,
105,126,185,,12.0,0.0,,,0.0,0,0,0,0,0,0,,0,,0,,1550575312.0,unknown,
88,127,118,3.0,12.0,0.0,,2.0,3.0,0,0,0,0,0,0,,0,,0,1550489341.0,1550489341.0,used,1.0
91,126,213,,12.0,0.0,,,11.0,0,0,0,0,0,0,,0,,0,,1550489748.0,unknown,
96,127,60,3.0,12.0,0.0,,60.0,3.0,0,0,0,0,0,0,,0,,0,1550522974.0,1550522974.0,used,1.0
90,127,213,11.0,12.0,0.0,,213.0,11.0,0,0,0,0,0,0,,0,,0,1550489748.0,1550489748.0,used,1.0
93,126,270,,12.0,0.0,,,12.0,0,0,0,0,0,0,,0,,0,,1550513653.0,unknown,
92,127,270,12.0,12.0,0.0,,270.0,12.0,0,0,0,0,0,0,,0,,0,1550513653.0,1550513653.0,used,1.0
95,126,262,,12.0,0.0,,,10.0,0,0,0,0,0,0,,0,,0,,1550521690.0,unknown,
99,126,153,,12.0,0.0,,,11.0,0,0,0,0,0,0,,0,,0,,1550524278.0,unknown,
98,127,153,11.0,12.0,0.0,,153.0,11.0,0,0,0,0,0,0,,0,,0,1550524278.0,1550524278.0,used,1.0
101,126,140,,12.0,0.0,,,7.0,0,0,0,0,0,0,,0,,0,,1550528341.0,unknown,
104,127,185,0.0,12.0,0.0,,185.0,0.0,0,0,0,0,0,0,,0,,0,1550575312.0,1550575312.0,used,1.0
100,127,140,7.0,12.0,0.0,,2.0,7.0,0,0,0,0,0,0,,0,,0,1550528341.0,1550528341.0,used,1.0
103,126,188,,12.0,0.0,,,4.0,0,0,0,0,0,0,,0,,0,,1550567690.0,unknown,
102,127,188,4.0,12.0,0.0,,188.0,4.0,0,0,0,0,0,0,,0,,0,1550567690.0,1550567690.0,used,1.0
107,126,160,,12.0,0.0,,,4.0,0,0,0,0,0,0,,0,,0,,1550577324.0,unknown,
111,126,228,,12.0,0.0,,,7.0,0,0,0,0,0,0,,0,,0,,1550587104.0,unknown,
106,127,160,4.0,12.0,0.0,,160.0,4.0,0,0,0,0,0,0,,0,,0,1550577324.0,1550577324.0,used,1.0
109,126,234,,12.0,0.0,,,8.0,0,0,0,0,0,0,,0,,0,,1550580046.0,unknown,
108,127,234,8.0,12.0,0.0,,234.0,8.0,0,0,0,0,0,0,,0,,0,1550580046.0,1550580046.0,used,1.0
110,127,228,7.0,12.0,0.0,,228.0,7.0,0,0,0,0,0,0,,0,,0,1550587104.0,1550587104.0,used,1.0
113,126,203,,12.0,0.0,,,11.0,0,0,0,0,0,0,,0,,0,,1550592003.0,unknown,
112,127,203,11.0,12.0,0.0,,2.0,11.0,0,0,0,0,0,0,,0,,0,1550592003.0,1550592003.0,used,1.0
115,126,98,,12.0,0.0,,,11.0,0,0,0,0,0,0,,0,,0,,1550614589.0,unknown,
114,127,98,11.0,12.0,0.0,,98.0,11.0,0,0,0,0,0,0,,0,,0,1550614588.0,1550614588.0,used,1.0
117,126,165,,12.0,0.0,,,11.0,0,0,0,0,0,0,,0,,0,,1550623323.0,unknown,
116,127,165,11.0,12.0,0.0,,165.0,11.0,0,0,0,0,0,0,,0,,0,1550623323.0,1550623323.0,used,1.0
119,126,256,,12.0,0.0,,,12.0,0,0,0,0,0,0,,0,,0,,1550650540.0,unknown,
118,127,256,12.0,12.0,0.0,,256.0,12.0,0,0,0,0,0,0,,0,,0,1550650540.0,1550650540.0,used,1.0
121,126,141,,12.0,0.0,,,1.0,0,0,0,0,0,0,,0,,0,,1550668202.0,unknown,
2423,30,347,100.0,100.0,0.0,,347.0,100.0,0,0,0,0,0,0,,0,,0,1554229253.0,1554229254.0,used,0.11111
563,136,284,8.66667,10.0,0.0,,3.0,8.66667,0,0,0,0,0,0,,0,,0,1551053933.0,1551120393.0,used,0.04651
120,127,141,1.0,12.0,0.0,,2.0,1.0,0,0,0,0,0,0,,0,,0,1550668202.0,1550668202.0,used,1.0
123,126,242,,12.0,0.0,,,11.0,0,0,0,0,0,0,,0,,0,,1550689176.0,unknown,
122,127,242,11.0,12.0,0.0,,242.0,11.0,0,0,0,0,0,0,,0,,0,1550689176.0,1550689176.0,used,1.0
2430,27,347,,900.0,0.0,,,866.16158,0,0,0,0,0,0,,0,,0,,1554658904.0,unknown,
124,129,262,,100.0,0.0,,262.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
125,128,262,,115.0,0.0,,,114.33333,0,0,0,0,0,0,,0,,0,,1553353489.0,unknown,
127,135,262,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309629,0,,0,,0,,1552309629.0,used,0.86957
152,128,165,,215.0,0.0,,,214.33333,0,0,0,0,0,0,,0,,0,,1552309650.0,unknown,
133,135,50,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309632,0,,0,,0,,1552309632.0,used,0.47619
126,130,262,5.0,5.0,1.0,3.0,262.0,5.0,0,0,0,0,0,0,,0,,0,,1553353489.0,used,0.04348
162,128,67,,110.0,0.0,,,105.66667,0,0,0,0,0,0,,0,,0,,1552309648.0,unknown,
153,129,165,100.0,100.0,0.0,,165.0,100.0,0,0,0,0,0,0,,0,,0,,1551311020.0,used,0.46512
136,129,228,,100.0,0.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
137,130,228,,5.0,1.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
140,126,138,,12.0,0.0,,,8.0,0,0,0,0,0,0,,0,,0,,1550740544.0,unknown,
139,127,138,8.0,12.0,0.0,,138.0,8.0,0,0,0,0,0,0,,0,,0,1550740544.0,1550740544.0,used,1.0
151,136,165,9.33333,10.0,0.0,,3.0,9.33333,0,0,0,0,0,0,,0,,0,1550742999.0,1551116996.0,used,0.04651
155,135,165,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309632,0,,0,,0,,1552309632.0,used,0.46512
141,129,102,,100.0,0.0,,102.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
143,130,102,,5.0,1.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
154,130,165,5.0,5.0,1.0,3.0,165.0,5.0,0,0,0,0,0,0,,0,,0,,1551310599.0,used,0.02326
157,128,180,,110.0,0.0,,,108.66667,0,0,0,0,0,0,,0,,0,,1552309650.0,unknown,
609,128,194,,110.0,0.0,,,107.33333,0,0,0,0,0,0,,0,,0,,1552309650.0,unknown,
148,130,95,5.0,5.0,1.0,3.0,95.0,5.0,0,0,0,0,0,0,,0,,0,,1551263821.0,used,0.02326
146,129,95,100.0,100.0,0.0,,95.0,100.0,0,0,0,0,0,0,,0,,0,,1551263883.0,used,0.46512
142,128,102,,110.0,0.0,,,109.33333,0,0,0,0,0,0,,0,,0,,1552309649.0,unknown,
160,135,180,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309631,0,,0,,0,,1552309631.0,used,0.90909
135,128,228,,110.0,0.0,,,108.0,0,0,0,0,0,0,,0,,0,,1552309651.0,unknown,
167,128,241,,115.0,0.0,,,113.0,0,0,0,0,0,0,,0,,0,,1552309651.0,unknown,
134,136,228,8.0,10.0,0.0,,3.0,8.0,0,0,0,0,0,0,,0,,0,1550693572.0,1551116484.0,used,0.09091
138,135,228,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309631,0,,0,,0,,1552309631.0,used,0.90909
564,136,118,8.66667,10.0,0.0,,3.0,8.66667,0,0,0,0,0,0,,0,,0,1551070564.0,1551120420.0,used,0.04762
158,129,180,,100.0,0.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
159,130,180,,5.0,1.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
132,130,50,,5.0,1.0,3.0,50.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
129,136,50,9.33333,10.0,0.0,,3.0,9.33333,0,0,0,0,0,0,,0,,0,1550693081.0,1551116455.0,used,0.04762
161,129,67,,100.0,0.0,,67.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
163,130,67,,5.0,1.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
131,129,50,100.0,100.0,0.0,,50.0,100.0,0,0,0,0,0,0,,0,,0,,1553371137.0,used,0.47619
166,129,241,,100.0,0.0,,241.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
147,128,95,,215.0,0.0,,,214.33333,0,0,0,0,0,0,,0,,0,,1552309648.0,unknown,
164,135,67,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309630,0,,0,,0,,1552309630.0,used,0.90909
149,135,95,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309630,0,,0,,0,,1552309630.0,used,0.46512
